# qx_over_a qy_over_b Re_chi Im_chi
# num_k=200, num_q=100, n_orb=8, kT=0.001, mu=0.06, omega=0.0, eta=0.002, n_processes=80
-9.0353541949663307e-01 -5.0273526221632159e-01 1.0670087697972093e+01 4.0464872034563928e-05
-9.0353541949663307e-01 -4.9268055697199509e-01 1.0669916368676772e+01 3.9654278650656162e-05
-9.0353541949663307e-01 -4.8262585172766864e-01 1.0669877422376578e+01 3.8830268796644657e-05
-9.0353541949663307e-01 -4.7257114648334225e-01 1.0670255863597955e+01 3.9143705167477973e-05
-9.0353541949663307e-01 -4.6251644123901581e-01 1.0670547480504403e+01 3.9054859146728128e-05
-9.0353541949663307e-01 -4.5246173599468936e-01 1.0670882640288600e+01 3.8853646744165522e-05
-9.0353541949663307e-01 -4.4240703075036292e-01 1.0671294169471368e+01 3.8619805050395892e-05
-9.0353541949663307e-01 -4.3235232550603647e-01 1.0671783838485169e+01 3.8361515666038178e-05
-9.0353541949663307e-01 -4.2229762026171014e-01 1.0672351830715694e+01 3.8083790422855485e-05
-9.0353541949663307e-01 -4.1224291501738369e-01 1.0672997811728658e+01 3.7790968184858941e-05
-9.0353541949663307e-01 -4.0218820977305725e-01 1.0673720952031497e+01 3.7486789326311011e-05
-9.0353541949663307e-01 -3.9213350452873080e-01 1.0674519947850413e+01 3.7174465534431459e-05
-9.0353541949663307e-01 -3.8207879928440436e-01 1.0675393044864478e+01 3.6856752936318302e-05
-9.0353541949663307e-01 -3.7202409404007797e-01 1.0676338061429036e+01 3.6536019255290007e-05
-9.0353541949663307e-01 -3.6196938879575147e-01 1.0677352410032725e+01 3.6214301884263453e-05
-9.0353541949663307e-01 -3.5191468355142508e-01 1.0678433116817253e+01 3.5893356679317588e-05
-9.0353541949663307e-01 -3.4185997830709863e-01 1.0679576839452924e+01 3.5574698448542168e-05
-9.0353541949663307e-01 -3.3180527306277219e-01 1.0680779883829603e+01 3.5259634451858952e-05
-9.0353541949663307e-01 -3.2175056781844580e-01 1.0682038220047671e+01 3.4949292203463276e-05
-9.0353541949663307e-01 -3.1169586257411935e-01 1.0683347498162748e+01 3.4644642705854197e-05
-9.0353541949663307e-01 -3.0164115732979291e-01 1.0684703064087113e+01 3.4346520047246422e-05
-9.0353541949663307e-01 -2.9158645208546646e-01 1.0686099975995273e+01 3.4055638106838905e-05
-9.0353541949663307e-01 -2.8153174684114002e-01 1.0687533021530079e+01 3.3772604950894975e-05
-9.0353541949663307e-01 -2.7147704159681363e-01 1.0688996736059670e+01 3.3497935370301262e-05
-9.0353541949663307e-01 -2.6142233635248718e-01 1.0690485422193262e+01 3.3232061905197388e-05
-9.0353541949663307e-01 -2.5136763110816074e-01 1.0691993170727285e+01 3.2975344620434540e-05
-9.0353541949663307e-01 -2.4131292586383432e-01 1.0693513883157808e+01 3.2728079832994317e-05
-9.0353541949663307e-01 -2.3125822061950788e-01 1.0695041295862699e+01 3.2490507945116878e-05
-9.0353541949663307e-01 -2.2120351537518143e-01 1.0696569006024328e+01 3.2262820501420750e-05
-9.0353541949663307e-01 -2.1114881013085501e-01 1.0698090499330901e+01 3.2045166562176624e-05
-9.0353541949663307e-01 -2.0109410488652857e-01 1.0699599179461009e+01 3.1837658465626324e-05
-9.0353541949663307e-01 -1.9103939964220218e-01 1.0701088399321074e+01 3.1640377038413635e-05
-9.0353541949663307e-01 -1.8098469439787573e-01 1.0702551493968897e+01 3.1453376303125432e-05
-9.0353541949663307e-01 -1.7092998915354929e-01 1.0703981815117926e+01 3.1276687724805628e-05
-9.0353541949663307e-01 -1.6087528390922284e-01 1.0705372767077099e+01 3.1110324033119115e-05
-9.0353541949663307e-01 -1.5082057866489645e-01 1.0706717843939806e+01 3.0954282653157975e-05
-9.0353541949663307e-01 -1.4076587342057001e-01 1.0708010667792880e+01 3.0808548775075390e-05
-9.0353541949663307e-01 -1.3071116817624356e-01 1.0709245027674655e+01 3.0673098090631764e-05
-9.0353541949663307e-01 -1.2065646293191713e-01 1.0710414918968848e+01 3.0547899222972882e-05
-9.0353541949663307e-01 -1.1060175768759069e-01 1.0711514582881774e+01 3.0432915874416796e-05
-9.0353541949663307e-01 -1.0054705244326431e-01 1.0712538545613477e+01 3.0328108715655722e-05
-9.0353541949663307e-01 -9.0492347198937867e-02 1.0713481656801774e+01 3.0233437038337262e-05
-9.0353541949663307e-01 -8.0437641954611422e-02 1.0714339126792213e+01 3.0148860191608650e-05
-9.0353541949663307e-01 -7.0382936710284977e-02 1.0715106562269735e+01 3.0074338821695185e-05
-9.0353541949663307e-01 -6.0328231465958525e-02 1.0715779999778979e+01 3.0009835932104909e-05
-9.0353541949663307e-01 -5.0273526221632080e-02 1.0716355936662955e+01 2.9955317780439106e-05
-9.0353541949663307e-01 -4.0218820977305711e-02 1.0716831358963743e+01 2.9910754626011513e-05
-9.0353541949663307e-01 -3.0164115732979262e-02 1.0717203765855755e+01 2.9876121340908746e-05
-9.0353541949663307e-01 -2.0109410488652817e-02 1.0717471190221181e+01 2.9851397895085613e-05
-9.0353541949663307e-01 -1.0054705244326374e-02 1.0717632215028528e+01 2.9836569724448947e-05
-9.0353541949663307e-01 7.1065644079062674e-17 1.0717685985237976e+01 2.9831627988772786e-05
-9.0353541949663307e-01 1.0054705244326445e-02 1.0717632215028530e+01 2.9836569724450454e-05
-9.0353541949663307e-01 2.0109410488652890e-02 1.0717471190221181e+01 2.9851397895085237e-05
-9.0353541949663307e-01 3.0164115732979335e-02 1.0717203765855761e+01 2.9876121340907079e-05
-9.0353541949663307e-01 4.0218820977305780e-02 1.0716831358963736e+01 2.9910754626011710e-05
-9.0353541949663307e-01 5.0273526221632225e-02 1.0716355936662939e+01 2.9955317780437930e-05
-9.0353541949663307e-01 6.0328231465958670e-02 1.0715779999778986e+01 3.0009835932106115e-05
-9.0353541949663307e-01 7.0382936710285046e-02 1.0715106562269739e+01 3.0074338821693806e-05
-9.0353541949663307e-01 8.0437641954611491e-02 1.0714339126792215e+01 3.0148860191608816e-05
-9.0353541949663307e-01 9.0492347198937936e-02 1.0713481656801774e+01 3.0233437038338418e-05
-9.0353541949663307e-01 1.0054705244326438e-01 1.0712538545613487e+01 3.0328108715653631e-05
-9.0353541949663307e-01 1.1060175768759083e-01 1.0711514582881774e+01 3.0432915874415753e-05
-9.0353541949663307e-01 1.2065646293191720e-01 1.0710414918968841e+01 3.0547899222973011e-05
-9.0353541949663307e-01 1.3071116817624365e-01 1.0709245027674653e+01 3.0673098090632245e-05
-9.0353541949663307e-01 1.4076587342057009e-01 1.0708010667792880e+01 3.0808548775074665e-05
-9.0353541949663307e-01 1.5082057866489645e-01 1.0706717843939797e+01 3.0954282653156986e-05
-9.0353541949663307e-01 1.6087528390922298e-01 1.0705372767077103e+01 3.1110324033120498e-05
-9.0353541949663307e-01 1.7092998915354934e-01 1.0703981815117928e+01 3.1276687724805533e-05
-9.0353541949663307e-01 1.8098469439787587e-01 1.0702551493968897e+01 3.1453376303126516e-05
-9.0353541949663307e-01 1.9103939964220223e-01 1.0701088399321067e+01 3.1640377038414218e-05
-9.0353541949663307e-01 2.0109410488652862e-01 1.0699599179461007e+01 3.1837658465626954e-05
-9.0353541949663307e-01 2.1114881013085512e-01 1.0698090499330897e+01 3.2045166562177356e-05
-9.0353541949663307e-01 2.2120351537518151e-01 1.0696569006024337e+01 3.2262820501420073e-05
-9.0353541949663307e-01 2.3125822061950801e-01 1.0695041295862692e+01 3.2490507945114900e-05
-9.0353541949663307e-01 2.4131292586383440e-01 1.0693513883157808e+01 3.2728079832995428e-05
-9.0353541949663307e-01 2.5136763110816079e-01 1.0691993170727290e+01 3.2975344620434716e-05
-9.0353541949663307e-01 2.6142233635248729e-01 1.0690485422193268e+01 3.3232061905197673e-05
-9.0353541949663307e-01 2.7147704159681368e-01 1.0688996736059666e+01 3.3497935370300699e-05
-9.0353541949663307e-01 2.8153174684114018e-01 1.0687533021530076e+01 3.3772604950894447e-05
-9.0353541949663307e-01 2.9158645208546657e-01 1.0686099975995278e+01 3.4055638106839217e-05
-9.0353541949663307e-01 3.0164115732979291e-01 1.0684703064087126e+01 3.4346520047246368e-05
-9.0353541949663307e-01 3.1169586257411946e-01 1.0683347498162743e+01 3.4644642705854027e-05
-9.0353541949663307e-01 3.2175056781844580e-01 1.0682038220047662e+01 3.4949292203463208e-05
-9.0353541949663307e-01 3.3180527306277235e-01 1.0680779883829617e+01 3.5259634451858267e-05
-9.0353541949663307e-01 3.4185997830709869e-01 1.0679576839452917e+01 3.5574698448541281e-05
-9.0353541949663307e-01 3.5191468355142524e-01 1.0678433116817256e+01 3.5893356679319140e-05
-9.0353541949663307e-01 3.6196938879575158e-01 1.0677352410032743e+01 3.6214301884262403e-05
-9.0353541949663307e-01 3.7202409404007797e-01 1.0676338061429021e+01 3.6536019255289878e-05
-9.0353541949663307e-01 3.8207879928440447e-01 1.0675393044864490e+01 3.6856752936317279e-05
-9.0353541949663307e-01 3.9213350452873086e-01 1.0674519947850408e+01 3.7174465534431751e-05
-9.0353541949663307e-01 4.0218820977305736e-01 1.0673720952031493e+01 3.7486789326311953e-05
-9.0353541949663307e-01 4.1224291501738375e-01 1.0672997811728651e+01 3.7790968184858493e-05
-9.0353541949663307e-01 4.2229762026171014e-01 1.0672351830715709e+01 3.8083790422855234e-05
-9.0353541949663307e-01 4.3235232550603664e-01 1.0671783838485167e+01 3.8361515666039038e-05
-9.0353541949663307e-01 4.4240703075036303e-01 1.0671294169471366e+01 3.8619805050396989e-05
-9.0353541949663307e-01 4.5246173599468953e-01 1.0670882640288600e+01 3.8853646744165867e-05
-9.0353541949663307e-01 4.6251644123901592e-01 1.0670547480504410e+01 3.9054859146729429e-05
-9.0353541949663307e-01 4.7257114648334225e-01 1.0670255863597944e+01 3.9143705167478413e-05
-9.0353541949663307e-01 4.8262585172766881e-01 1.0669877422376569e+01 3.8830268796645023e-05
-9.0353541949663307e-01 4.9268055697199514e-01 1.0669916368676772e+01 3.9654278650655952e-05
-9.0353541949663307e-01 5.0273526221632159e-01 1.0670087697972093e+01 4.0464872034564456e-05
-8.8546471110670044e-01 -5.0273526221632159e-01 1.0672515122956208e+01 4.0863635544958395e-05
